"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Apr 26 12:58:11 GMT 2025","Sat Apr 26 12:58:11 GMT 2025","224","","ui.SimpleUITests","","ui.SimpleUITests","openSiteTest","openSiteTest()",""
"passed","Sat Apr 26 12:58:06 GMT 2025","Sat Apr 26 12:58:08 GMT 2025","2113","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"passed","Sat Apr 26 12:58:09 GMT 2025","Sat Apr 26 12:58:09 GMT 2025","60","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"passed","Sat Apr 26 12:58:09 GMT 2025","Sat Apr 26 12:58:09 GMT 2025","66","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Sat Apr 26 12:58:08 GMT 2025","Sat Apr 26 12:58:08 GMT 2025","71","","apiTests.PetUserTests","","apiTests.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"broken","Sat Apr 26 12:58:10 GMT 2025","Sat Apr 26 12:58:11 GMT 2025","246","","ui.SimpleUITests","","ui.SimpleUITests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Sat Apr 26 12:58:09 GMT 2025","Sat Apr 26 12:58:09 GMT 2025","50","","apiTests.PetUserTests","","apiTests.PetUserTests","createUser","createUser()",""
"passed","Sat Apr 26 12:58:08 GMT 2025","Sat Apr 26 12:58:08 GMT 2025","74","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=chursovg, firstName=Gena, lastName=Chursov, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)",""
"broken","Sat Apr 26 12:58:09 GMT 2025","Sat Apr 26 12:58:10 GMT 2025","1012","","ui.SimpleUITests","","ui.SimpleUITests","loginTest","loginTest()",""
"passed","Sat Apr 26 12:58:09 GMT 2025","Sat Apr 26 12:58:09 GMT 2025","71","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"passed","Sat Apr 26 12:58:08 GMT 2025","Sat Apr 26 12:58:09 GMT 2025","736","","apiTests.PetUserTests","","apiTests.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Sat Apr 26 12:58:08 GMT 2025","Sat Apr 26 12:58:08 GMT 2025","66","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=chursovg2, firstName=Gena2, lastName=Chursov2, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)",""
