"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 26 13:05:25 GMT 2025","Sat Apr 26 13:05:25 GMT 2025","95","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=chursovg2, firstName=Gena2, lastName=Chursov2, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)",""
"passed","Sat Apr 26 13:05:26 GMT 2025","Sat Apr 26 13:05:26 GMT 2025","69","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"broken","Sat Apr 26 13:05:26 GMT 2025","Sat Apr 26 13:05:28 GMT 2025","1437","","ui.SimpleUITests","","ui.SimpleUITests","loginTest","loginTest()",""
"passed","Sat Apr 26 13:05:28 GMT 2025","Sat Apr 26 13:05:29 GMT 2025","1216","","ui.SimpleUITests","","ui.SimpleUITests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Sat Apr 26 13:05:29 GMT 2025","Sat Apr 26 13:05:29 GMT 2025","536","","ui.SimpleUITests","","ui.SimpleUITests","openSiteTest","openSiteTest()",""
"passed","Sat Apr 26 13:05:26 GMT 2025","Sat Apr 26 13:05:26 GMT 2025","61","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Sat Apr 26 13:05:26 GMT 2025","Sat Apr 26 13:05:26 GMT 2025","79","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"passed","Sat Apr 26 13:05:25 GMT 2025","Sat Apr 26 13:05:25 GMT 2025","75","","apiTests.PetUserTests","","apiTests.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"passed","Sat Apr 26 13:05:25 GMT 2025","Sat Apr 26 13:05:26 GMT 2025","835","","apiTests.PetUserTests","","apiTests.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Sat Apr 26 13:05:25 GMT 2025","Sat Apr 26 13:05:25 GMT 2025","101","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=chursovg, firstName=Gena, lastName=Chursov, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)",""
"passed","Sat Apr 26 13:05:23 GMT 2025","Sat Apr 26 13:05:25 GMT 2025","1906","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"passed","Sat Apr 26 13:05:26 GMT 2025","Sat Apr 26 13:05:26 GMT 2025","50","","apiTests.PetUserTests","","apiTests.PetUserTests","createUser","createUser()",""
