"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 21 05:50:17 GMT 2025","Wed May 21 05:50:18 GMT 2025","1237","","ui.SimpleUITests","","ui.SimpleUITests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Wed May 21 05:50:14 GMT 2025","Wed May 21 05:50:14 GMT 2025","52","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=chursovg2, firstName=Gena2, lastName=Chursov2, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)",""
"passed","Wed May 21 05:50:15 GMT 2025","Wed May 21 05:50:15 GMT 2025","34","","apiTests.PetUserTests","","apiTests.PetUserTests","createUser","createUser()",""
"passed","Wed May 21 05:50:14 GMT 2025","Wed May 21 05:50:15 GMT 2025","825","","apiTests.PetUserTests","","apiTests.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Wed May 21 05:50:15 GMT 2025","Wed May 21 05:50:15 GMT 2025","44","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
"passed","Wed May 21 05:50:14 GMT 2025","Wed May 21 05:50:14 GMT 2025","51","","apiTests.PetUserTests","","apiTests.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"passed","Wed May 21 05:50:14 GMT 2025","Wed May 21 05:50:14 GMT 2025","95","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=chursovg, firstName=Gena, lastName=Chursov, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)",""
"passed","Wed May 21 05:50:15 GMT 2025","Wed May 21 05:50:15 GMT 2025","51","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"passed","Wed May 21 05:50:18 GMT 2025","Wed May 21 05:50:19 GMT 2025","526","","ui.SimpleUITests","","ui.SimpleUITests","openSiteTest","openSiteTest()",""
"passed","Wed May 21 05:50:15 GMT 2025","Wed May 21 05:50:15 GMT 2025","52","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"passed","Wed May 21 05:50:12 GMT 2025","Wed May 21 05:50:14 GMT 2025","2076","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"broken","Wed May 21 05:50:15 GMT 2025","Wed May 21 05:50:17 GMT 2025","1617","","ui.SimpleUITests","","ui.SimpleUITests","loginTest","loginTest()",""
